,Name,Brand,Price,Body,Transmission,Number Of Seats,Segment,Introduction,Drive,Drive System,Fuel,Cylinder Capacity,Max Power Hp,Max Torque,Fuel System,Valve Actuation,Turbo,Fuel Tank,Top Speed,Energy Label,Front Stabilizer,Rear Stabilizer,Num_doors,Dt_Transmission
4303,AUDI COUPE 2 0 E,AUDI,28520.0, coupé,5.0,5,,1990,front,fuel engine,gasoline,2.0,113.0,170.0,multipoint injection,ohc,no,70.0,196.0,,yes,yes,3,manual transmission
4304,AUDI COUPE 2 0 E,AUDI,27222.0, coupé,5.0,5,,1991,front,fuel engine,gasoline,2.0,116.0,165.0,multipoint injection,ohc,no,70.0,196.0,,yes,yes,3,manual transmission
4305,AUDI Q3 1 4 TFSI,AUDI,36430.0, suv/crossover,6.0,5,l,2013,front,fuel engine,gasoline,4.0,150.0,250.0,direct injection,dohc,yes,64.0,203.0,d,yes,yes,5,manual transmission
4306,AUDI Q5 2 0 TFSI 180HP QUATTRO,AUDI,50660.0, suv/crossover,6.0,5,m,2009,front+rear,fuel engine,gasoline,4.0,180.0,320.0,direct injection,dohc,yes,75.0,210.0,f,yes,yes,5,manual transmission
4307,AUDI Q7 3 6 FSI QUATTRO,AUDI,67800.0, suv/crossover,6.0,7,m,2008,front+rear,fuel engine,gasoline,4.0,280.0,360.0,multipoint injection,dohc,no,100.0,225.0,g,yes,yes,5,manual transmission
4308,AUDI Q7 3 0 TFSI 272HP QUATTRO,AUDI,99710.0, suv/crossover,8.0,7,m,2010,front+rear,fuel engine,gasoline,4.0,272.0,400.0,direct injection,dohc,yes,100.0,222.0,g,yes,yes,5,automatic
4309,AUDI R8 4 2 FSI QUATTRO,AUDI,165645.0, coupé,6.0,2,h,2007,front+rear,fuel engine,gasoline,4.0,420.0,430.0,direct injection,dohc,no,75.0,301.0,g,yes,yes,2,manual transmission
4310,AUDI R8 SPYDER 4 2 FSI QUATTRO,AUDI,206980.0, convertible,6.0,2,h,2011,front+rear,fuel engine,gasoline,4.0,430.0,430.0,direct injection,dohc,no,80.0,300.0,g,yes,yes,2,manual transmission
4311,AUDI TT COUPE 1 8 5V TURBO 150HP,AUDI,37790.0, coupé,5.0,4,g,2003,front,fuel engine,gasoline,5.0,150.0,210.0,multipoint injection,dohc,yes,55.0,220.0,g,yes,yes,2,manual transmission
4312,AUDI TT COUPE 1 8 TFSI,AUDI,37990.0, coupé,6.0,4,g,2008,front,fuel engine,gasoline,4.0,160.0,250.0,direct injection,dohc,yes,55.0,226.0,f,yes,yes,2,manual transmission
4313,AUDI TT COUPE 1 8 TFSI,AUDI,41240.0, coupé,6.0,4,g,2010,front,fuel engine,gasoline,4.0,160.0,250.0,direct injection,dohc,yes,55.0,226.0,e,yes,yes,2,manual transmission
4314,AUDI TT ROADSTER 1 8 5V TURBO 150HP,AUDI,39290.0, convertible,5.0,2,g,2002,front,fuel engine,gasoline,5.0,150.0,210.0,multipoint injection,dohc,yes,56.0,214.0,g,yes,yes,2,manual transmission
4315,AUDI TT ROADSTER 1 8 TFSI,AUDI,39590.0, convertible,6.0,2,g,2008,front,fuel engine,gasoline,4.0,160.0,250.0,direct injection,dohc,yes,55.0,223.0,f,yes,yes,2,manual transmission
4316,AUDI TT ROADSTER 1 8 TFSI,AUDI,43890.0, convertible,6.0,2,g,2010,front,fuel engine,gasoline,4.0,160.0,250.0,direct injection,dohc,yes,55.0,223.0,e,yes,yes,2,manual transmission
4317,BENTLEY ARNAGE GREEN LABEL,BENTLEY,0.0, sedan,5.0,5,i,1998,rear,fuel engine,gasoline,4.0,354.0,570.0,multipoint injection,ohv,yes,94.0,240.0,g,yes,yes,4,automatic
4318,BENTLEY ARNAGE R,BENTLEY,0.0, sedan,4.0,5,i,2002,rear,fuel engine,gasoline,2.0,405.0,835.0,multipoint injection,ohv,yes,94.0,249.0,,yes,yes,4,automatic
4319,BENTLEY CONTINENTAL FLYING SPUR,BENTLEY,303002.0, sedan,6.0,5,,2005,front+rear,fuel engine,gasoline,4.0,560.0,650.0,multipoint injection,dohc,yes,90.0,312.0,g,yes,yes,4,automatic
4320,BENTLEY CONTINENTAL R,BENTLEY,0.0, coupé,4.0,4,,1994,rear,fuel engine,gasoline,2.0,389.0,750.0,multipoint injection,ohv,yes,108.0,245.0,g,yes,yes,2,automatic
4321,BENTLEY CONTINENTAL GT,BENTLEY,270077.0, coupé,6.0,4,,2003,front+rear,fuel engine,gasoline,4.0,560.0,650.0,multipoint injection,dohc,yes,90.0,318.0,g,yes,yes,2,automatic
4322,BENTLEY CONTINENTAL GT V8,BENTLEY,228022.00000000003, coupé,8.0,4,,2012,front+rear,fuel engine,gasoline,4.0,507.0,660.0,direct injection,dohc,yes,90.0,305.0,g,yes,yes,2,automatic
4323,BENTLEY AZURE,BENTLEY,0.0, convertible,4.0,4,,1997,rear,fuel engine,gasoline,2.0,389.0,750.0,multipoint injection,ohv,yes,107.0,240.0,g,yes,yes,2,automatic
4324,BENTLEY CONTINENTAL GTC,BENTLEY,306422.0, convertible,6.0,4,,2006,front+rear,fuel engine,gasoline,4.0,560.0,650.0,multipoint injection,dohc,yes,90.0,312.0,g,yes,yes,2,automatic
4325,BENTLEY MULSANNE 6 8,BENTLEY,406689.0, sedan,8.0,5,i,2010,rear,fuel engine,gasoline,2.0,512.0,1020.0,multipoint injection,ohv,yes,96.0,296.0,g,yes,yes,4,automatic
4326,BMW 116I,BMW,25720.0, hatchback,6.0,4,c,2007,rear,fuel engine,gasoline,4.0,122.0,160.0,direct injection,dohc,no,53.0,204.0,e,yes,yes,3,manual transmission
4327,BMW 114I EFFICIENTDYNAMICS EDITION,BMW,24990.0, hatchback,6.0,5,c,2012,rear,fuel engine,gasoline,4.0,102.0,180.0,direct injection,dohc,yes,52.0,195.0,d,yes,yes,3,manual transmission
4328,BMW 116I,BMW,25400.0, hatchback,5.0,5,c,2004,rear,fuel engine,gasoline,4.0,115.0,150.0,multipoint injection,dohc,no,53.0,200.0,g,yes,yes,5,manual transmission
4329,BMW 116I,BMW,26750.0, hatchback,6.0,5,c,2007,rear,fuel engine,gasoline,4.0,115.0,150.0,multipoint injection,dohc,no,53.0,200.0,g,yes,yes,5,manual transmission
4330,BMW 114I EFFICIENTDYNAMICS EDITION,BMW,25990.0, hatchback,6.0,5,c,2012,rear,fuel engine,gasoline,4.0,102.0,180.0,direct injection,dohc,yes,52.0,195.0,d,yes,yes,5,manual transmission
4331,BMW 120I COUPE,BMW,34010.0, coupé,6.0,4,g,2009,rear,fuel engine,gasoline,4.0,170.0,210.0,multipoint injection,dohc,no,51.0,224.0,f,yes,yes,2,manual transmission
4332,BMW 120I COUPE,BMW,36990.0, coupé,6.0,4,g,2011,rear,fuel engine,gasoline,4.0,170.0,210.0,multipoint injection,dohc,no,51.0,224.0,f,yes,yes,2,manual transmission
4333,BMW 118I CABRIO,BMW,34845.0, convertible,6.0,4,g,2008,rear,fuel engine,gasoline,4.0,143.0,190.0,multipoint injection,dohc,no,51.0,210.0,f,yes,yes,2,manual transmission
4334,BMW 118I CABRIO,BMW,36990.0, convertible,6.0,4,g,2011,rear,fuel engine,gasoline,4.0,143.0,190.0,multipoint injection,dohc,no,51.0,210.0,f,yes,yes,2,manual transmission
4335,BMW 316I COMPACT,BMW,21759.0, hatchback,5.0,5,c,1994,rear,fuel engine,gasoline,2.0,102.0,150.0,multipoint injection,ohc,no,52.0,188.0,g,yes,no,3,manual transmission
4336,BMW 316TI COMPACT ESSENCE,BMW,24900.0, hatchback,5.0,4,c,2003,rear,fuel engine,gasoline,4.0,115.0,175.0,multipoint injection,dohc,no,63.0,201.0,g,yes,yes,3,manual transmission
4337,AUDI A5 SPORTBACK 1 8 TFSI 160HP,AUDI,39790.0, hatchback,6.0,4,g,2010,front,fuel engine,gasoline,4.0,160.0,250.0,direct injection,dohc,yes,65.0,223.0,e,yes,yes,5,manual transmission
4338,AUDI A5 SPORTBACK 1 8 TFSI 144HP,AUDI,38470.0, hatchback,6.0,4,g,2014,front,fuel engine,gasoline,4.0,144.0,280.0,direct injection,dohc,yes,65.0,220.0,c,yes,yes,5,manual transmission
4339,AUDI S5 SPORTBACK 3 0 TFSI QUATTRO,AUDI,78990.0, hatchback,7.0,4,g,2010,front+rear,fuel engine,gasoline,4.0,333.0,440.0,direct injection,dohc,yes,65.0,250.0,g,yes,yes,5,automatic
